"pid","Date","NewRank","VS","Result","Tournament_Name"
"Duwang",17626,2555.73529615338,"Slow Dancer","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Slow Dancer",17626,2457.23447602213,"Duwang","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokepen",17626,2638.71053449439,"Duwang","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Duwang",17626,2493.71597776997,"Pokepen","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"dare2dream",17626,2645.09732279536,"Pokepen","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokepen",17626,2583.35488563424,"dare2dream","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pandarian",17626,2755.41366311741,"dare2dream","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"dare2dream",17626,2591.46891441303,"Pandarian","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Sweets",17646,2346.85250173308,"Kavi","Win","SupportPriority3, Version 2"
"Kavi",17646,2140.50347829606,"Sweets","Loss","SupportPriority3, Version 2"
"Kila",17646,2434.47590458902,"TamashaSmash","Win","SupportPriority3, Version 2"
"TamashaSmash",17646,2116.94730006578,"Kila","Loss","SupportPriority3, Version 2"
"Pokalink",17646,2336.98296647479,"AZURE","Win","SupportPriority3, Version 2"
"AZURE",17646,2082.17402530072,"Pokalink","Loss","SupportPriority3, Version 2"
"Dylan",17646,2321.62001925535,"Gatts","Win","SupportPriority3, Version 2"
"Gatts",17646,2009.8826765626,"Dylan","Loss","SupportPriority3, Version 2"
"Kudaketa",17646,2335.0721551402,"Cyronna","Win","SupportPriority3, Version 2"
"Cyronna",17646,2064.9278448598,"Kudaketa","Loss","SupportPriority3, Version 2"
"Ro",17646,2335.0721551402,"Pferschaw","Win","SupportPriority3, Version 2"
"Pferschaw",17646,2064.9278448598,"Ro","Loss","SupportPriority3, Version 2"
"Qphex",17646,2335.0721551402,"Enigma","Win","SupportPriority3, Version 2"
"Enigma",17646,2064.9278448598,"Qphex","Loss","SupportPriority3, Version 2"
"Nathan Pineapple",17646,2182.48870461177,"JC","Win","SupportPriority3, Version 2"
"JC",17646,2002.5289596041,"Nathan Pineapple","Loss","SupportPriority3, Version 2"
"AQT",17646,2274.1405685151,"Wriggle","Win","SupportPriority3, Version 2"
"Wriggle",17646,1894.75509378476,"AQT","Loss","SupportPriority3, Version 2"
"Pokepen",17646,2605.81616342198,"Sweets","Win","SupportPriority3, Version 2"
"Sweets",17646,2291.5298009212,"Pokepen","Loss","SupportPriority3, Version 2"
"Pokalink",17646,2429.96706442569,"Kila","Win","SupportPriority3, Version 2"
"Kila",17646,2362.39533416963,"Pokalink","Loss","SupportPriority3, Version 2"
"Slow Dancer",17646,2499.64349399484,"Dylan","Win","SupportPriority3, Version 2"
