"Tournament","date","player1_id","player2_id","player1_score","player2_score","url"
"Ultimate Singles",2019-03-23," JoCo","Rebel",-1,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Quailius","Goose",-1,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Biggymouth","arc",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"BananaLinkStar"," Waldo",0,-1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," rumi","RadicalSquid",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"CrimsonBattousai","Dinodan",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"JTreezy","Clout",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"kudaltrix","StealyMonk",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"IsaiahJH","Lionel Coin Bank",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"hyperspace","Oasis",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Duwang","Pinkowl",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"staples"," YAMAGE!",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Alm","Double R",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"DJ","Bread",1,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Disorient","Rebel",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"KurtMage","Shiroe",0,-1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," FireThePyro","Goose",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," softdrinks","Pump",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Biggymouth","BananaLinkStar",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," rumi","CrimsonBattousai",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"JTreezy","kudaltrix",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"IsaiahJH","hyperspace",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Duwang","staples",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Alm","Bread",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Disorient","KurtMage",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," FireThePyro"," softdrinks",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
